cell	condition	cluster	donor
TAG64	72	3	2
TAG68	72	5	2
TAG69	72	3	2
TAG72	72	5	2
TAG80	72	3	2
TAG81	72	5	2
TAG8005	72	5	2
TAG86	72	5	2
TAG87	72	4	2
TAG88	72	3	2
TAG89	72	5	2
TAG91	72	3	2
TAG92	72	5	2
TAG94	72	4	2
TAG96	72	5	2
TAG01	96	4	2
TAG02	96	5	2
TAG03	96	4	2
TAG04	96	4	2
TAG06	96	5	2
TAG07	96	4	2
TAG08	96	4	2
TAG09	96	4	2
TAG10	96	5	2
TAG11	96	4	2
TAG12	96	5	2
TAG13	96	5	2
TAG14	96	1	2
TAG1005	96	5	2
TAG16	96	5	2
TAG17	96	4	2
TAG18	96	4	2
TAG19	96	4	2
TAG20	96	4	2
TAG21	96	5	2
TAG22	96	4	2
TAG23	96	5	2
TAG24	96	4	2
TAG2005	96	5	2
TAG26	96	5	2
TAG29	96	5	2
TAG30	96	4	2
TAG31	96	5	2
TAG32	96	5	2
TAG33	96	4	2
TAG3005	96	5	2
TAG36	96	5	2
TAG37	96	5	2
TAG38	96	5	2
TAG39	96	5	2
TAG40	96	5	2
TAG41	96	5	2
TAG42	96	5	2
TAG43	96	5	2
TAG44	96	5	2
TAG4005	96	4	2
TAG46	96	4	2
TAG47	96	5	2
TAG48	96	5	2
TAG0050	96	5	2
TAG0052	96	5	2
TAG0053	96	4	2
TAG0054	96	3	2
TAG0056	96	5	2
TAG0057	96	5	2
TAG0058	96	4	2
TAG0059	96	5	2
TAG60	96	5	2
TAG61	96	4	2
TAG62	96	5	2
TAG63	96	4	2
TAG64	96	4	2
TAG6005	96	5	2
TAG66	96	5	2
TAG67	96	5	2
TAG68	96	5	2
TAG69	96	5	2
TAG70	96	5	2
TAG71	96	5	2
TAG72	96	5	2
TAG73	96	5	2
TAG74	96	5	2
TAG7005	96	5	2
TAG76	96	5	2
TAG77	96	5	2
TAG78	96	5	2
TAG79	96	4	2
TAG80	96	5	2
TAG81	96	5	2
TAG82	96	5	2
TAG83	96	5	2
TAG84	96	5	2
TAG8005	96	5	2
TAG86	96	5	2
TAG87	96	4	2
TAG88	96	5	2
TAG89	96	5	2
TAG90	96	4	2
TAG92	96	5	2
TAG93	96	5	2
TAG94	96	4	2
TAG9005	96	5	2
TAG96	96	5	2
TAG01	5	1	1
TAG02	5	1	1
TAG03	5	1	1
TAG04	5	1	1
TAG06	5	1	1
TAG07	5	1	1
TAG08	5	1	1
TAG09	5	1	1
TAG10	5	1	1
TAG11	5	1	1
TAG13	5	1	1
TAG14	5	1	1
TAG16	5	1	1
TAG17	5	1	1
TAG18	5	1	1
TAG19	5	1	1
TAG20	5	1	1
TAG22	5	1	1
TAG23	5	1	1
TAG2005	5	1	1
TAG27	5	1	1
TAG28	5	1	1
